股票代码,公司,PDF页码,记录类型,事件类型,日期,主体名称,证据摘要,来源文件,JSONL行号,是否有截图
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,QIMING VENTURE,2019年4月，QIMING VENTURE以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,48,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,QM101,2019年4月，QM101以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,49,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,澜烽管理,2019年4月，澜烽管理以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,50,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,苏宁润东,2019年4月，苏宁润东以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,51,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,领誉基石,2019年4月，领誉基石以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,52,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,朗玛九号,2019年4月，朗玛九号以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,53,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,朗玛十号,2019年4月，朗玛十号以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,54,是
688775,影石创新科技股份有限公司,65,subscription_flow,增资,2019-04-30,Vantage Point,2019年4月，Vantage Point以货币出资125万元认购2.4038万元新增注册资本，增资价格为52元/注册资本。,subscription_flow_gold.jsonl,55,是
688775,影石创新科技股份有限公司,68,equity_snapshot,,2019-05-31,t1|2019年增资后,"2019年4月增资后，总股本1,137.0187万元",equity_snapshot_gold.jsonl,16,是
688775,影石创新科技股份有限公司,70,cross_check,flow_to_stock,,688775_CC_002,,cross_check_gold.jsonl,11,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,EARN ACE,2020年4月30日，EARN ACE以货币出资500万元认购5.6818万元新增注册资本，增资价格为88元/注册资本。,subscription_flow_gold.jsonl,56,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海源和,2020年4月30日，珠海源和以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,57,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海新昕,2020年4月30日，珠海新昕以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,58,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海万创,2020年4月30日，珠海万创以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,59,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海诚欣,2020年4月30日，珠海诚欣以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,60,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海协创,2020年4月30日，珠海协创以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,61,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海创享,2020年4月30日，珠海创享以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,62,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海悦辰,2020年4月30日，珠海悦辰以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,63,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海云辰,2020年4月30日，珠海云辰以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,64,是
688775,影石创新科技股份有限公司,70,subscription_flow,增资,2020-04-30,珠海星彩,2020年4月30日，珠海星彩以货币出资500万元认购5.6818万元新增注册资本。,subscription_flow_gold.jsonl,65,是
688775,影石创新科技股份有限公司,72,equity_snapshot,,2020-05-31,t2|2020年增资后,"2020年4月增资后，总股本1,193.8367万元",equity_snapshot_gold.jsonl,17,是
920100,常州三协电机股份有限公司,30,equity_snapshot,,2002-06-19,t0|深圳三协设立,深圳三协设立，注册资本50万元，朱南保17.5万元(35%)、盛月良17.5万元(35%)、朱南根15万元(30%),equity_snapshot_gold.jsonl,18,是
920100,常州三协电机股份有限公司,31,cross_check,flow_to_stock,,920100_CC_001,,cross_check_gold.jsonl,12,是
920100,常州三协电机股份有限公司,31,equity_snapshot,,2004-12-01,t1|第一次增资后,第一次增资完成后，朱南保35万元(35%)、盛月良35万元(35%)、朱南根30万元(30%),equity_snapshot_gold.jsonl,19,是
920100,常州三协电机股份有限公司,31,subscription_flow,增资,2004-12-01,朱南保,2004年12月，深圳三协第一次增资，注册资本由50万元增加至100万元。朱南保增加出资17.5万元。,subscription_flow_gold.jsonl,66,是
920100,常州三协电机股份有限公司,31,subscription_flow,增资,2004-12-01,盛月良,2004年12月，盛月良增加出资17.5万元。,subscription_flow_gold.jsonl,67,是
920100,常州三协电机股份有限公司,31,subscription_flow,增资,2004-12-01,朱南根,2004年12月，朱南根增加出资15万元。,subscription_flow_gold.jsonl,68,是
920100,常州三协电机股份有限公司,32,cross_check,flow_to_stock,,920100_CC_002,,cross_check_gold.jsonl,13,是
920100,常州三协电机股份有限公司,32,equity_snapshot,,2015-09-01,t2|第二次增资后,第二次增资完成后，朱南保70万元(35%)、盛月良70万元(35%)、朱南根60万元(30%),equity_snapshot_gold.jsonl,20,是
920100,常州三协电机股份有限公司,32,subscription_flow,增资,2015-09-01,朱南保,2015年9月，深圳三协第二次增资，注册资本由100万元增加至200万元。朱南保增加出资35万元。,subscription_flow_gold.jsonl,69,是
920100,常州三协电机股份有限公司,32,subscription_flow,增资,2015-09-01,盛月良,2015年9月，盛月良增加出资35万元。,subscription_flow_gold.jsonl,70,是
920100,常州三协电机股份有限公司,32,subscription_flow,增资,2015-09-01,朱南根,2015年9月，朱南根增加出资30万元。,subscription_flow_gold.jsonl,71,是
920116,中科星图测控技术股份有限公司,44,equity_snapshot,,2016-12-14,t0｜报告期初,"2016年12月，四方股份、罗永红、王金林共同出资设立星图测控有限，四方股份出资1,200万元(60%)；罗永红出资400万元(20%，代牛威)；王金林出资400万元(20%，代吴功友)",equity_snapshot_gold.jsonl,21,是
920116,中科星图测控技术股份有限公司,46,equity_snapshot,,2017-10-25,t1|代持还原后,"代持还原后，四方股份1,200万元(60%)、牛威400万元(20%)、吴功友400万元(20%)",equity_snapshot_gold.jsonl,22,是
920116,中科星图测控技术股份有限公司,46,share_transfer_flow,,,,2017年10月9日，罗永红将其持有的星图测控有限20%股权（对应400万元认缴注册资本，其中12.50万元已实缴）转让予牛威。鉴于罗永红所持公司股权系为牛威代持，本次股权转让系还原股权代持，故牛威未...,share_transfer_flow_gold.jsonl,25,是
920116,中科星图测控技术股份有限公司,46,share_transfer_flow,,,,2017年10月9日，王金林将其持有的星图测控有限20%股权（对应400万元认缴注册资本，其中12.50万元已实缴）转让予吴功友。鉴于王金林所持公司股权系为吴功友代持，本次股权转让系还原股权代持，故吴...,share_transfer_flow_gold.jsonl,26,是
920116,中科星图测控技术股份有限公司,48,cross_check,flow_to_stock,,920116_CC_001,,cross_check_gold.jsonl,14,是
920116,中科星图测控技术股份有限公司,48,equity_snapshot,,2022-11-28,t2|第一次增资后,"增资完成后，四方股份1,200万元(35.29%)、星图空间1,400万元(41.18%)、牛威400万元(11.76%)、吴功友400万元(11.76%)",equity_snapshot_gold.jsonl,23,是
920116,中科星图测控技术股份有限公司,48,subscription_flow,增资,2022-11-23,星图空间,"2022年11月23日，星图测控有限股东会作出决议，同意星图空间向星图测控有限增资1,400万元，增资价格为1元/注册资本。本次增资完成后，星图测控有限注册资本由2,000万元增加至3,400万元。",subscription_flow_gold.jsonl,72,是
920116,中科星图测控技术股份有限公司,50,cross_check,transfer_no_change,,920116_CC_002,,cross_check_gold.jsonl,15,是
920116,中科星图测控技术股份有限公司,50,equity_snapshot,,2023-02-03,t3|股权激励后,"股权激励完成后，四方股份690万元(20.29%)、星图空间1,400万元(41.18%)、牛威400万元(11.76%)、吴功友400万元(11.76%)、策星银河340万元(10.00%)、策星逐...",equity_snapshot_gold.jsonl,24,是
920116,中科星图测控技术股份有限公司,50,share_transfer_flow,,,,2023年1月16日，四方股份将其持有的星图测控有限10%股权（对应340万元认缴注册资本）转让予策星银河。鉴于策星银河系发行人员工持股平台，本次股权转让系实施股权激励，转让价格为零对价。,share_transfer_flow_gold.jsonl,27,是
920116,中科星图测控技术股份有限公司,50,share_transfer_flow,,,,2023年1月16日，四方股份将其持有的星图测控有限5%股权（对应170万元认缴注册资本）转让予策星逐月。鉴于策星逐月系发行人员工持股平台，本次股权转让系实施股权激励，转让价格为零对价。,share_transfer_flow_gold.jsonl,28,是
920116,中科星图测控技术股份有限公司,51,cross_check,flow_to_stock,,920116_CC_003,,cross_check_gold.jsonl,16,是
920116,中科星图测控技术股份有限公司,51,equity_snapshot,,2023-06-28,t4|第二次增资后,"增资完成后，四方股份690万元(19.03%)、星图空间1,400万元(38.60%)、牛威400万元(11.03%)、吴功友400万元(11.03%)、策星银河566.6667万元(15.63%)、...",equity_snapshot_gold.jsonl,25,是
920116,中科星图测控技术股份有限公司,51,subscription_flow,增资,2023-06-28,策星银河,"2023年6月28日，星图测控有限股东会作出决议，同意策星银河向星图测控有限增资226.6667万元，增资价格为1元/注册资本。本次增资完成后，星图测控有限注册资本由3,400万元增加至3,626.6...",subscription_flow_gold.jsonl,73,是
